5120 40050
1260 2459 0.0666666666667
4979 592 0.0666666666667
3987 758 0.0666666666667
270 4212 0.0666666666667
4401 4403 0.0666666666667
270 4213 0.0666666666667
1018 3908 0.0666666666667
541 2259 0.0666666666667
1718 4082 0.0666666666667
1718 4083 0.0666666666667
4401 4405 0.0666666666667
1718 4085 0.0666666666667
3616 7 0.0666666666667
3616 1 0.0666666666667
4666 4667 0.0666666666667
4666 4665 0.0666666666667
4446 3115 0.0666666666667
4666 4668 0.0666666666667
1018 3903 0.0666666666667
4088 1764 0.0666666666667
4470 166 0.0666666666667
1764 4089 0.0666666666667
3953 1940 0.133333333333
163 680 0.0666666666667
1375 293 0.133333333333
1764 4083 0.0666666666667
518 105 0.133333333333
1764 4081 0.0666666666667
1764 4080 0.0666666666667
1393 3952 0.0666666666667
1393 3953 0.0666666666667
1393 3950 0.0666666666667
1018 3904 0.0666666666667
1256 2506 0.0666666666667
1256 2507 0.0666666666667
1256 2505 0.0666666666667
2078 2082 0.0666666666667
2078 2080 0.0666666666667
2078 2081 0.0666666666667
2726 1110 0.0666666666667
3081 1868 0.0666666666667
623 2256 0.0666666666667
623 2257 0.0666666666667
623 2258 0.0666666666667
1764 3363 0.0666666666667
1764 3362 0.0666666666667
1764 3361 0.0666666666667
3535 388 0.0666666666667
2107 575 0.0666666666667
150 148 0.0666666666667
1103 1100 0.0666666666667
1103 1101 0.0666666666667
1103 1102 0.0666666666667
1271 3731 0.0666666666667
1271 3730 0.0666666666667
1271 3733 0.0666666666667
1271 3732 0.0666666666667
274 277 0.0666666666667
274 276 0.0666666666667
274 275 0.133333333333
3447 3448 0.0666666666667
3447 3449 0.0666666666667
166 141 0.266666666667
274 278 0.2
2664 2663 0.0666666666667
2664 2662 0.0666666666667
2664 2665 0.0666666666667
222 3373 0.133333333333
222 3372 0.133333333333
222 3375 0.0666666666667
541 1257 0.0666666666667
1955 3738 0.0666666666667
1955 3739 0.0666666666667
388 692 0.133333333333
1097 1094 0.0666666666667
1097 1095 0.0666666666667
1097 1096 0.0666666666667
1097 1093 0.0666666666667
468 467 0.0666666666667
468 469 0.0666666666667
140 2792 0.0666666666667
874 4410 0.0666666666667
2021 166 0.0666666666667
711 3788 0.0666666666667
817 1892 0.0666666666667
2021 165 0.0666666666667
3991 3562 0.133333333333
70 1902 0.0666666666667
4998 3263 0.0666666666667
956 1189 0.0666666666667
3734 3737 0.0666666666667
3734 3736 0.0666666666667
3734 3735 0.0666666666667
4096 2676 0.0666666666667
26 27 0.0666666666667
102 4552 0.0666666666667
102 4551 0.0666666666667
102 4550 0.0666666666667
26 28 0.0666666666667
4914 3525 0.0666666666667
4602 4603 0.0666666666667
4127 3094 0.0666666666667
4431 2044 0.0666666666667
4376 2298 0.0666666666667
4414 4413 0.0666666666667
2116 575 0.0666666666667
1464 1061 0.0666666666667
4414 4412 0.0666666666667
2640 1019 0.0666666666667
2640 1018 0.0666666666667
4872 4874 0.0666666666667
4281 1383 0.0666666666667
621 1509 0.0666666666667
4749 1070 0.0666666666667
4365 2305 0.0666666666667
3844 1771 0.0666666666667
1441 1016 0.133333333333
1371 2302 0.133333333333
1371 2303 0.0666666666667
1371 2304 0.0666666666667
1371 2305 0.2
105 4727 0.0666666666667
2757 322 0.0666666666667
1716 4095 0.0666666666667
3573 552 0.0666666666667
1716 4094 0.133333333333
942 945 0.0666666666667
942 944 0.266666666667
942 947 0.0666666666667
942 946 0.266666666667
3679 2651 0.0666666666667
942 943 0.0666666666667
1764 588 0.0666666666667
3214 3288 0.0666666666667
3398 3397 0.0666666666667
1716 4093 0.0666666666667
3412 3411 0.0666666666667
3398 3399 0.0666666666667
3563 320 0.0666666666667
3563 323 0.0666666666667
4666 4664 0.0666666666667
688 606 0.133333333333
3211 3214 0.0666666666667
3211 3212 0.0666666666667
504 506 0.0666666666667
504 505 0.0666666666667
2924 2923 0.0666666666667
2402 2399 0.0666666666667
4446 1134 0.0666666666667
3755 3754 0.0666666666667
820 140 0.133333333333
278 2795 0.0666666666667
2559 4194 0.0666666666667
408 740 0.0666666666667
791 180 0.266666666667
2559 4193 0.0666666666667
709 245 0.0666666666667
403 1 0.0666666666667
41 2990 0.0666666666667
2101 2096 0.0666666666667
41 2992 0.0666666666667
41 2993 0.0666666666667
41 2994 0.0666666666667
3808 725 0.0666666666667
2117 733 0.0666666666667
1441 1439 0.133333333333
4746 4747 0.0666666666667
3116 4446 0.0666666666667
2101 2094 0.133333333333
3116 4445 0.0666666666667
2634 2635 0.0666666666667
2101 2095 0.133333333333
2634 2633 0.0666666666667
2634 2632 0.0666666666667
3555 1280 0.0666666666667
2100 2121 0.0666666666667
1764 4082 0.0666666666667
323 4060 0.0666666666667
3598 3599 0.0666666666667
4891 4892 0.0666666666667
1764 4087 0.0666666666667
1764 4086 0.0666666666667
1764 4085 0.0666666666667
1393 3951 0.0666666666667
2100 2123 0.0666666666667
4780 577 0.0666666666667
2955 4178 0.0666666666667
2955 4179 0.0666666666667
1668 1670 0.0666666666667
1668 1671 0.0666666666667
442 441 0.0666666666667
4694 141 0.0666666666667
2396 2397 0.0666666666667
2396 2395 0.0666666666667
2396 2394 0.0666666666667
2396 2393 0.0666666666667
2396 2392 0.0666666666667
2396 2391 0.0666666666667
2396 2390 0.0666666666667
3369 579 0.0666666666667
2100 2122 0.0666666666667
139 761 0.2
801 91 0.0666666666667
3705 1878 0.133333333333
484 1515 0.0666666666667
166 2138 0.0666666666667
601 4598 0.0666666666667
3484 3488 0.0666666666667
4848 4845 0.0666666666667
2900 2901 0.0666666666667
4848 4846 0.0666666666667
4848 4849 0.0666666666667
7 134 0.0666666666667
2651 30 0.0666666666667
2651 31 0.0666666666667
497 500 0.0666666666667
497 501 0.0666666666667
1256 2508 0.0666666666667
2703 435 0.0666666666667
1256 2509 0.0666666666667
2917 5014 0.0666666666667
423 2044 0.0666666666667
2001 2000 0.0666666666667
2917 5013 0.0666666666667
4217 4219 0.0666666666667
840 829 0.0666666666667
840 828 0.0666666666667
269 114 0.0666666666667
3792 737 0.0666666666667
3792 736 0.0666666666667
3857 3858 0.133333333333
4378 579 0.0666666666667
4619 1950 0.0666666666667
4213 221 0.0666666666667
141 133 0.0666666666667
413 824 0.266666666667
134 177 0.0666666666667
113 5103 0.0666666666667
4807 4808 0.0666666666667
4807 4809 0.0666666666667
1070 2256 0.0666666666667
1070 2257 0.0666666666667
151 150 0.0666666666667
3092 2331 0.0666666666667
579 4631 0.0666666666667
1104 3017 0.0666666666667
1444 1940 0.133333333333
4840 2799 0.0666666666667
52 1675 0.0666666666667
293 134 0.0666666666667
2818 2820 0.0666666666667
1449 2661 0.0666666666667
3519 1816 0.0666666666667
3219 1611 0.0666666666667
31 175 0.266666666667
2110 4283 0.0666666666667
2110 4282 0.0666666666667
2110 4281 0.0666666666667
31 179 0.133333333333
533 4339 0.0666666666667
2110 4284 0.0666666666667
141 689 0.6
141 688 0.133333333333
4695 28 0.0666666666667
141 685 0.133333333333
141 684 0.2
141 687 0.2
141 686 0.0666666666667
4387 4391 0.0666666666667
4387 4390 0.0666666666667
141 683 0.133333333333
174 581 0.0666666666667
441 1585 0.133333333333
4721 4722 0.0666666666667
4721 4723 0.0666666666667
4662 179 0.0666666666667
3534 3538 0.0666666666667
3507 3508 0.0666666666667
1744 17 0.0666666666667
1683 1727 0.0666666666667
672 4178 0.0666666666667
164 2262 0.0666666666667
164 2261 0.0666666666667
164 2260 0.0666666666667
1352 269 0.0666666666667
913 912 0.0666666666667
913 914 0.0666666666667
913 915 0.0666666666667
913 916 0.0666666666667
913 917 0.0666666666667
4146 1826 0.0666666666667
1559 1561 0.266666666667
1559 1560 0.266666666667
264 1816 0.0666666666667
4060 134 0.0666666666667
3634 3631 0.0666666666667
3634 3630 0.0666666666667
3634 3633 0.0666666666667
3634 3632 0.0666666666667
3634 3635 0.0666666666667
3634 3636 0.0666666666667
2204 4724 0.0666666666667
2204 4725 0.0666666666667
952 1706 0.0666666666667
4710 4489 0.0666666666667
1213 141 0.0666666666667
3892 3908 0.0666666666667
768 411 0.0666666666667
1529 1528 0.0666666666667
1529 1527 0.0666666666667
450 3396 0.0666666666667
72 1371 0.0666666666667
4296 4059 0.0666666666667
592 191 0.0666666666667
3230 1483 0.0666666666667
2995 211 0.0666666666667
1058 4308 0.0666666666667
1058 4309 0.0666666666667
579 749 0.0666666666667
3892 3903 0.0666666666667
4215 4218 0.0666666666667
3565 2386 0.0666666666667
1058 4307 0.0666666666667
4215 4219 0.0666666666667
4323 4324 0.0666666666667
4323 4325 0.0666666666667
4087 1716 0.0666666666667
2570 2571 0.0666666666667
1946 1448 0.133333333333
1252 1718 0.0666666666667
4078 4077 0.0666666666667
4078 4076 0.0666666666667
4078 4075 0.0666666666667
113 792 0.2
113 793 0.0666666666667
2120 2114 0.0666666666667
2120 2115 0.0666666666667
997 998 0.0666666666667
997 999 0.0666666666667
2120 2110 0.0666666666667
2120 2111 0.0666666666667
997 994 0.0666666666667
997 995 0.0666666666667
997 996 0.0666666666667
997 990 0.0666666666667
997 991 0.0666666666667
997 992 0.0666666666667
997 993 0.0666666666667
4816 4815 0.0666666666667
3127 909 0.0666666666667
1134 625 0.133333333333
812 2238 0.0666666666667
1448 725 0.0666666666667
3860 2352 0.0666666666667
48 4597 0.0666666666667
4874 3343 0.0666666666667
2268 1493 0.0666666666667
2268 1491 0.0666666666667
2388 67 0.0666666666667
1248 1801 0.0666666666667
1248 1800 0.133333333333
1248 1802 0.0666666666667
2139 134 0.0666666666667
1134 193 0.2
2224 1238 0.0666666666667
4212 221 0.0666666666667
3982 546 0.0666666666667
615 583 0.2
2437 570 0.0666666666667
4876 2589 0.0666666666667
639 1575 0.133333333333
2298 4377 0.0666666666667
2298 4375 0.0666666666667
1970 1968 0.0666666666667
1970 1969 0.0666666666667
526 1657 0.0666666666667
526 1656 0.0666666666667
838 828 0.0666666666667
838 829 0.0666666666667
241 697 0.0666666666667
241 696 0.0666666666667
3382 3383 0.0666666666667
3382 3381 0.0666666666667
1480 1483 0.0666666666667
1480 1482 0.0666666666667
1480 1481 0.0666666666667
1970 1967 0.0666666666667
107 102 0.0666666666667
107 103 0.0666666666667
107 104 0.0666666666667
107 105 0.0666666666667
107 106 0.0666666666667
107 108 0.0666666666667
1752 160 0.0666666666667
2120 575 0.0666666666667
820 1074 0.0666666666667
820 1075 0.0666666666667
1378 3843 0.0666666666667
31 1985 0.2
31 1986 0.2
2166 589 0.0666666666667
141 1089 0.133333333333
2731 2553 0.0666666666667
4468 2632 0.0666666666667
3066 1192 0.0666666666667
4468 2635 0.0666666666667
2499 2502 0.0666666666667
2457 4851 0.0666666666667
3618 3617 0.0666666666667
644 3470 0.0666666666667
5012 27 0.0666666666667
2709 665 0.2
367 1925 0.0666666666667
3098 3725 0.0666666666667
3098 3724 0.0666666666667
3098 3723 0.0666666666667
2073 1708 0.0666666666667
1141 1139 0.133333333333
2976 2975 0.0666666666667
481 1057 0.0666666666667
222 3374 0.0666666666667
