3621 20984
900 899 0.0625
900 898 0.037037037037037035
2825 2600 0.2
2631 264 0.05555555555555555
2236 2237 0.25
1118 276 0.012987012987012988
1948 579 0.05263157894736842
1340 1339 0.2
40 1667 0.16666666666666666
2318 2320 0.2
428 891 0.125
572 800 0.06666666666666667
897 1666 0.03225806451612903
763 45 0.009174311926605505
2922 1239 0.045454545454545456
2347 3166 0.5
95 545 0.029411764705882353
1170 3079 0.125
534 44 0.02
534 45 0.009174311926605505
371 2605 0.2
325 260 0.019230769230769232
519 1569 0.2
1094 1145 0.07142857142857142
1212 2463 1.0
164 2775 0.5
2211 1950 0.25
1986 1113 0.14285714285714285
1986 1114 0.07692307692307693
1728 537 0.05263157894736842
2325 1508 0.25
230 3178 0.16666666666666666
230 3179 0.3333333333333333
2537 2538 0.5
709 951 0.14285714285714285
303 1306 0.038461538461538464
541 998 0.16666666666666666
42 308 0.03125
3024 219 0.047619047619047616
181 1086 0.16666666666666666
2663 1369 0.16666666666666666
204 1172 0.041666666666666664
609 61 0.045454545454545456
2550 899 0.0625
935 243 0.04
3559 2939 0.1
2306 950 0.07692307692307693
2891 2892 0.5
2891 2893 0.5
2116 1105 0.1111111111111111
549 1059 0.058823529411764705
2832 305 0.3333333333333333
1257 870 0.045454545454545456
194 2391 0.25
2587 1640 0.25
2064 625 0.25
45 3153 0.5
121 2014 0.3333333333333333
231 1754 0.16666666666666666
655 44 0.02
45 3152 0.5
744 989 0.08333333333333333
459 46 0.14285714285714285
3292 675 0.04
48 96 0.05
2492 3509 0.5
2020 2021 0.1
2580 3441 0.25
170 169 0.07142857142857142
518 102 0.08333333333333333
3484 3483 0.25
208 81 0.08333333333333333
2600 2823 0.25
2230 600 0.029411764705882353
2600 2825 0.25
2600 2824 0.25
935 147 0.08333333333333333
854 327 0.125
554 1280 0.05263157894736842
959 800 0.06666666666666667
1502 1405 0.14285714285714285
117 204 0.0196078431372549
1987 1986 0.2
3571 164 0.058823529411764705
2087 421 0.05
2667 2402 0.2
2921 2923 0.14285714285714285
3316 944 0.1
505 2611 0.1111111111111111
39 980 0.020833333333333332
369 371 0.05
369 370 0.2
1180 553 0.07142857142857142
1402 1607 0.5
3259 3258 0.5
227 50 0.05555555555555555
2003 2778 0.25
45 3158 0.3333333333333333
1507 335 0.05
69 2779 1.0
3050 1130 0.25
565 516 0.034482758620689655
27 1085 0.5
311 1133 0.1111111111111111
183 553 0.07142857142857142
1327 1178 0.04
252 470 0.03333333333333333
719 336 0.02127659574468085
2480 2481 0.5
140 591 0.022727272727272728
437 1623 0.125
1055 1457 0.2
590 592 0.038461538461538464
590 591 0.022727272727272728
83 110 0.043478260869565216
153 3183 0.5
553 332 0.02
742 741 0.3333333333333333
742 740 0.25
965 103 0.09090909090909091
2197 762 0.023809523809523808
1327 317 0.023809523809523808
1178 2509 0.3333333333333333
1585 889 0.08333333333333333
3447 3048 0.2
2779 69 0.25
3153 3152 0.5
274 275 0.3333333333333333
1473 821 0.125
419 296 0.5
592 732 0.3333333333333333
748 342 0.06666666666666667
314 330 0.09090909090909091
108 1117 0.125
2664 2663 0.16666666666666666
2664 2662 0.5
201 549 0.025
3121 3120 0.5
825 1760 0.3333333333333333
2380 208 0.043478260869565216
1280 410 0.09090909090909091
98 100 0.07142857142857142
98 101 0.07692307692307693
98 102 0.08333333333333333
66 208 0.043478260869565216
506 3308 0.5
2950 2951 0.25
719 3178 0.16666666666666666
364 399 0.16666666666666666
1097 1098 0.25
2354 2439 1.0
1429 334 0.07692307692307693
2227 79 0.25
1097 1095 0.25
1097 1096 0.16666666666666666
136 1877 0.09090909090909091
1819 173 0.14285714285714285
501 388 0.058823529411764705
927 1198 0.125
358 1075 1.0
3291 562 0.14285714285714285
563 562 0.14285714285714285
877 153 0.03571428571428571
3613 1001 0.3333333333333333
2386 2385 0.5
2386 2384 0.16666666666666666
161 2459 0.16666666666666666
1161 436 0.027777777777777776
300 302 0.2
300 301 0.3333333333333333
1387 1390 0.14285714285714285
1976 276 0.012987012987012988
267 540 0.043478260869565216
969 1612 0.125
12 11 0.1111111111111111
3024 3026 0.5
12 13 0.5
3460 81 0.08333333333333333
45 3358 0.2
1110 750 0.14285714285714285
2842 3400 0.5
3488 3489 0.25
1220 3124 0.5
3251 1071 0.03225806451612903
1001 3613 0.5
1073 805 0.09090909090909091
807 2790 0.25
76 2487 0.16666666666666666
1432 656 0.0625
738 202 0.020833333333333332
1512 599 0.08333333333333333
310 805 0.09090909090909091
2287 1149 0.06666666666666667
3163 3164 0.3333333333333333
3163 3165 0.3333333333333333
1529 2158 0.06666666666666667
96 198 0.010309278350515464
1157 3410 0.5
1850 45 0.009174311926605505
878 104 0.1
1742 1171 0.05263157894736842
38 113 0.07142857142857142
38 112 0.5
130 2240 0.14285714285714285
130 2241 0.14285714285714285
1621 1477 0.0625
1155 850 0.03333333333333333
865 99 0.01818181818181818
1155 587 0.037037037037037035
227 2487 0.16666666666666666
227 2486 0.25
310 207 0.0196078431372549
2234 2232 0.09090909090909091
865 91 0.1111111111111111
93 130 0.011904761904761904
865 93 0.023255813953488372
1171 1742 0.04
1196 2756 0.09090909090909091
243 2347 0.14285714285714285
1465 1202 0.03125
2722 2531 0.16666666666666666
294 1752 0.08333333333333333
893 1008 0.05
807 36 0.02702702702702703
313 126 0.045454545454545456
276 147 0.08333333333333333
1365 435 0.05
26 27 0.1111111111111111
1666 42 0.029411764705882353
510 2120 0.1111111111111111
2013 864 0.06666666666666667
200 371 0.05
200 370 0.2
655 1371 0.16666666666666666
2522 1100 0.06666666666666667
276 148 0.02
509 1616 0.3333333333333333
807 126 0.045454545454545456
233 2315 0.5
2456 596 0.25
622 2424 0.5
575 3322 1.0
1152 1151 0.1
151 99 0.01818181818181818
148 314 0.047619047619047616
148 315 0.2
631 980 0.020833333333333332
148 313 0.07692307692307693
133 626 0.038461538461538464
1713 1712 0.25
3437 2605 0.2
645 45 0.009174311926605505
1713 1711 0.08333333333333333
3052 1420 0.25
1713 1714 0.25
1713 1715 0.25
57 58 0.14285714285714285
57 59 0.125
944 2531 0.16666666666666666
216 2428 0.5
3392 88 0.045454545454545456
3156 854 0.037037037037037035
276 772 0.05
2410 2411 0.5
3035 2813 0.14285714285714285
738 335 0.05
3553 3555 0.25
3512 898 0.037037037037037035
51 1171 0.05263157894736842
427 919 0.058823529411764705
401 1239 0.045454545454545456
2954 652 0.02631578947368421
631 180 0.125
856 326 0.04
1035 260 0.019230769230769232
1137 3413 0.3333333333333333
332 3438 1.0
401 402 0.06666666666666667
199 694 0.037037037037037035
110 1847 0.3333333333333333
652 1547 0.5
928 580 0.038461538461538464
770 242 0.06666666666666667
217 892 0.125
1348 1808 0.1
12 2685 0.2
1980 198 0.010309278350515464
1151 1281 0.14285714285714285
1151 1282 0.14285714285714285
709 878 0.02040816326530612
30 1062 0.16666666666666666
1292 1926 0.16666666666666666
76 2486 0.25
2983 889 0.08333333333333333
1071 1568 0.09090909090909091
2371 1177 0.2
1059 234 0.02564102564102564
2794 218 0.05
2566 2565 0.5
2003 93 0.023255813953488372
2566 2567 0.5
3514 655 0.02564102564102564
334 533 0.058823529411764705
1592 946 0.06666666666666667
45 443 0.0625
1592 944 0.1
942 941 0.3333333333333333
942 940 0.08333333333333333
1429 921 0.07142857142857142
3243 973 0.09090909090909091
435 2042 0.058823529411764705
161 288 0.1
227 1365 0.05263157894736842
249 1442 0.1111111111111111
249 1440 0.2
249 1441 0.2
16 854 0.037037037037037035
136 3158 0.3333333333333333
1236 346 0.023255813953488372
349 718 0.1
639 636 0.14285714285714285
639 637 0.1
639 634 0.14285714285714285
639 635 0.07692307692307693
2691 312 0.038461538461538464
639 638 0.14285714285714285
896 416 0.14285714285714285
70 68 0.07692307692307693
70 69 0.25
3398 3399 0.3333333333333333
687 1295 0.045454545454545456
2470 2469 1.0
2982 2983 0.3333333333333333
882 881 0.3333333333333333
882 880 0.1
882 883 0.3333333333333333
1939 1520 0.125
2573 101 0.07692307692307693
997 110 0.043478260869565216
3584 3586 0.3333333333333333
1052 569 0.06666666666666667
770 1444 0.1111111111111111
541 850 0.03333333333333333
37 694 0.037037037037037035
228 1188 0.2
210 209 1.0
2924 2925 1.0
244 2651 0.3333333333333333
2348 794 0.043478260869565216
550 549 0.025
227 701 0.02564102564102564
119 1529 0.08333333333333333
1090 1272 0.5
800 151 0.03225806451612903
777 737 0.07142857142857142
878 1336 0.07142857142857142
3224 3084 0.16666666666666666
470 1671 0.09090909090909091
1014 40 0.02631578947368421
294 1060 0.03333333333333333
