829 1476
1 1 0.36261309141671466
1 2 0.23642462373191092
1 3 0.08540073080166272
1 4 0.04450972965869604
2 5 0.30204768914099883
2 6 0.26195138004572427
2 7 0.38212386027095474
2 8 0.2699496725654722
2 9 0.23868594148522454
2 10 0.10661994657562979
2 11 0.13868501118376464
2 12 0.17578500259482138
2 13 0.32016048219631693
2 14 0.393940935382798
2 15 0.38514396657161015
2 16 0.41552643738890316
2 17 0.0018052687409422785
2 18 0.47530399854629857
2 19 0.018455389227218788
2 20 0.230002047611499
2 21 0.4796409273915099
2 22 0.33332966830970495
2 23 0.2550353526595088
2 24 0.1680639592488713
2 25 0.10593427053700855
2 26 0.21225504848995203
3 27 0.1557916450352601
4 24 0.10293701939103955
5 19 0.24995311200670806
6 28 0.09373096846963641
7 29 0.3767147071420907
8 30 0.13657745663331844
9 31 0.40706349276357046
10 32 0.19191291434612362
10 33 0.4261342700157259
10 34 0.2205592681775868
10 35 0.4380979430799562
10 36 0.25914382609623315
10 37 0.13313002991941364
10 38 0.08365152305890083
10 39 0.12579045623658086
11 31 0.41408571565302565
12 40 0.4197476095987604
12 41 0.07314400554148759
12 42 0.12540680153964878
13 42 0.26201554958189704
14 42 0.32626407608708174
15 43 0.28039889240284277
16 44 0.403205148561467
17 45 0.3437668406008511
17 46 0.17670947718043578
17 47 0.20040226326852723
17 48 0.3218518810865485
17 49 0.3209713672589066
18 50 0.14193457410897015
19 51 0.40997786288705335
20 51 0.2927018881403684
21 52 0.008633155163088324
21 53 0.24756923959617544
22 54 0.314130404996447
23 55 0.15468266941081593
24 56 0.496817003626959
25 56 0.03758939242006487
26 57 0.3574516976578546
27 58 0.17980194038464953
28 59 0.32201418304101476
29 60 0.2713834465512676
30 61 0.2889326322708215
31 62 0.23377382427772542
32 63 0.01116704884656966
33 8 0.16182737044524387
33 10 0.30382459923260774
34 64 0.2503184077892874
35 63 0.455216437804902
36 65 0.2901922413448642
37 66 0.11539280169468902
37 67 0.14837254063810462
37 65 0.20948710756030836
37 68 0.008740820458205123
37 69 0.16592358567930088
37 70 0.17833980875603328
37 71 0.1891489365762552
37 72 0.329253320729195
38 73 0.09591999566261178
39 22 0.4339622891302814
40 74 0.2373617465583991
40 75 0.26411162264733895
41 76 0.3706189780706097
41 75 0.1939744634738943
42 30 0.365355841494022
43 77 0.039240745850442016
44 78 0.3288812135838772
45 79 0.4720701424611278
45 80 0.010811844339970178
46 81 0.10394022206671744
46 82 0.23328141026099863
47 83 0.2455771329888276
48 84 0.04001585086102982
48 24 0.446304484326776
49 85 0.22782340136917673
50 86 0.28722688407784114
51 87 0.24813840491246353
51 88 0.06261835870197313
51 89 0.4512709111746909
51 90 0.42928395350851783
51 91 0.08628831577754476
51 92 0.0011184926201514012
52 93 0.0217133544929603
53 94 0.3887987408060546
54 95 0.16478110097329451
54 96 0.2420443138321513
54 97 0.17715614867026047
54 94 0.4622856598356593
55 79 0.045922206710497515
56 98 0.2606764308457387
56 99 0.42914474603454583
56 100 0.4744282882936744
56 101 0.15554475318535083
56 102 0.11919820469987363
56 103 0.10406530939895808
56 34 0.41405255460828566
56 104 0.036358350060068545
56 105 0.1446036131869629
56 106 0.3166628263046607
56 107 0.10518587258376988
56 108 0.26651943361353625
56 109 0.27259618317521717
56 110 0.21502912661910184
57 50 0.1358062213974489
57 104 0.3826107855402871
57 108 0.3587562450984922
58 50 0.0016511518548269488
58 108 0.2347496594954413
59 110 0.005410687489217358
60 111 0.45058499875029495
61 112 0.031661826594782116
62 113 0.42919902089957457
62 114 0.13026077899150018
62 115 0.43071419136466976
62 116 0.09576072065307534
62 117 0.2688112409751473
62 64 0.11087422836393157
63 118 0.4031993955598728
64 119 0.19136931465667495
65 120 0.005557571303129505
66 36 0.11356021673136873
67 12 0.25940411363391513
67 15 0.05712697145690171
67 16 0.3657344406164633
67 20 0.36886283181421586
68 121 0.3709967264899719
69 35 0.38170469327932066
70 35 0.386296232598076
71 73 0.30210222635601125
72 122 0.1829973065466881
73 28 0.19206643110501115
73 43 0.19567829399468534
74 123 0.4587257887570047
74 122 0.4385376577263765
74 124 0.36937249046496495
74 125 0.18026802134067038
74 90 0.11044099489183351
74 91 0.36865878677597347
74 110 0.2863658822181946
75 126 0.04824288754306699
76 95 0.44783126750758145
77 98 0.2562415264244371
77 127 0.45673811322377467
78 128 0.4383476742693885
78 129 0.06609122398982192
79 130 0.1677333537547796
79 131 0.11144181334881309
79 132 0.14402598982487752
79 133 0.20662709921496197
79 134 0.4137057687857682
79 135 0.26162777099259543
80 78 0.24837718161481775
81 39 0.09859295773698012
82 136 0.25230846954057135
82 39 0.05448770640182776
82 57 0.3159720502297073
83 137 0.033760489354415
84 138 0.39020629584295147
85 139 0.3106746907432108
86 140 0.21621019036411343
87 141 0.37220096023407045
87 142 0.4404655835520507
87 143 0.21079363303569087
87 144 0.45823042042113
88 126 0.23018808328613488
88 145 0.43149766682621615
88 146 0.36705515440330916
88 147 0.3203645092309377
88 148 0.22780274433661424
88 149 0.19496884232183248
88 75 0.243034725915656
88 72 0.2842101084397162
89 150 0.46653112535394103
89 146 0.33312238773571956
89 148 0.4181261047936014
90 20 0.08764670211153375
91 46 0.14551459459291444
92 151 0.3749599006453146
93 3 0.0924043088336653
94 152 0.49076125692755285
95 95 0.366290128050884
96 92 0.36331185342931965
97 28 0.11736987249382119
97 43 0.04874644811003298
98 153 0.09038852884544923
99 154 0.21425777944310576
100 155 0.07050841375200351
101 155 0.2645118555028401
101 70 0.0786979127896511
102 156 0.19205580903170427
103 157 0.15725520778929858
104 158 0.23940090120229957
104 159 0.0250431698118056
105 160 0.2859441576680571
106 161 0.35140338456111325
106 58 0.41222703712228714
106 157 0.4336861306563967
107 162 0.05770682793287979
108 163 0.315099373991261
108 164 0.31091652532690234
108 165 0.4975230402609113
108 166 0.3295349073258431
108 167 0.4854285394795102
108 168 0.28892236423242884
109 165 0.4075467844445869
110 169 0.4581384678566812
111 169 0.05998569570216106
112 170 0.4627855451135124
112 171 0.08813444711263335
112 90 0.2042364002746147
112 172 0.08132924142752518
113 80 0.1950564909829552
114 28 0.17053184197049365
114 95 0.25417931225963775
115 173 0.03133781358722526
115 174 0.4244786126486305
115 175 0.03397565821719489
115 176 0.18154703882890638
115 177 0.15371857154836227
115 178 0.38940050945597293
115 179 0.2763527184014979
115 180 0.1537648309882727
115 181 0.4102213080692563
116 88 0.3314419264893655
117 182 0.43852108873686374
117 183 0.1101997817258164
118 184 0.08236965873231022
119 184 0.4843535166077824
119 185 0.3475854158722571
120 186 0.3312470416529964
121 65 0.2755437598392035
122 187 0.007792884204384232
123 188 0.04349774944568657
124 189 0.28598388162942473
125 190 0.4891669196553305
126 191 0.2762940517478253
127 192 0.3629892816571602
128 193 0.31198477072330705
128 194 0.37003421794962177
128 195 0.3131382795202676
128 196 0.005808706959893051
128 110 0.03381504658634665
128 197 0.08603422759260054
129 193 0.1891137795521951
129 198 0.23831330621165098
129 199 0.2986511063270333
129 200 0.16873984537802883
129 186 0.08624217349084912
130 36 0.40990065743705
131 201 0.2449856682136471
131 189 0.44907946673358884
131 202 0.26754882582432193
131 203 0.40852999661472056
132 182 0.4890994045949311
133 204 0.48403125992457424
134 204 0.3161053288081657
135 205 0.06934311285000333
136 206 0.4928011790459996
137 207 0.3535876159360997
138 208 0.2624506043272399
139 38 0.40483380093663396
140 158 0.3202265377902155
141 209 0.037021513531242334
142 210 0.36633151052977875
143 130 0.16436493057060642
144 211 0.2715652310253651
145 62 0.316354239391449
145 152 0.204176035287999
146 212 0.09941016298056793
146 213 0.13094552599866893
146 214 0.04121002340458446
146 62 0.30836053602253116
146 152 0.18922467713806634
146 215 0.038658507794673835
146 216 0.10387298660952254
146 217 0.13084624007942736
147 218 0.3715922585587498
148 219 0.26463101033184216
149 153 0.09227677783326654
150 187 0.4874823502823911
151 172 0.3930888095402013
152 220 0.3918782749225829
152 189 0.39345110296469965
152 139 0.30068417918838575
153 221 0.014886438858153161
154 39 0.37177173312691014
155 222 0.2691094469997177
155 223 0.12346902234648605
155 224 0.40098143816978554
155 199 0.4946744789386162
155 200 0.24978019533679335
156 56 0.4958476413707236
157 152 0.2069593384192438
158 225 0.2200291865945826
159 101 0.06946935519142117
159 207 0.2626248403428515
159 226 0.15853574848445057
159 227 0.42228311882013037
159 228 0.3918170925263475
159 229 0.07965080710540817
159 230 0.44393046349949256
160 207 0.3156335223728699
161 147 0.44852039751119976
162 231 0.20134234930419243
162 39 0.41383213546672293
163 86 0.22515260842239398
164 232 0.2623819558301249
165 111 0.1039678863124619
166 116 0.29045422057984516
167 233 0.055903800556481864
167 39 0.05106211371330205
168 234 0.4188682333312452
169 235 0.15446725412077755
170 161 0.10665331619626867
171 102 0.35939942868814284
171 236 0.4053486932637063
172 237 0.3129272927214402
173 238 0.24651887254207955
174 222 0.2168425857507565
174 223 0.058581324979645355
174 239 0.05528345288015235
174 240 0.276919971853473
175 228 0.20737857425950162
176 151 0.2551306733234783
177 56 0.04010390376225237
178 43 0.1089201402175139
179 241 0.23213041626448266
180 165 0.010219385144435322
181 242 0.3834227797616122
182 215 0.29851787543496866
183 243 0.49603338004979264
184 232 0.3306799542418148
184 72 0.4404391698488091
185 43 0.05264543986969794
186 22 0.096267751126063
187 216 0.25342464886238264
188 244 0.10835008866364615
189 245 0.3257547275823559
190 246 0.1398247214085679
190 247 0.010019809661477697
190 126 0.09484247625015524
190 248 0.3927106316936701
190 249 0.4247386962020642
190 250 0.48936565187958936
191 57 0.05659821766927342
192 251 0.2753570041537039
193 252 0.0656275324142751
194 253 0.2775141114596433
195 60 0.21277857169916325
196 60 0.4138769829069103
197 254 0.3240604277843993
198 212 0.4657467778419927
199 255 0.17432022966241772
199 256 0.33610357106392513
200 72 0.4757465845191507
201 257 0.09562774485037273
202 245 0.203131934141972
202 218 0.30704419304656827
202 140 0.4403283629166256
203 258 0.12607817519083048
204 259 0.40249915533797814
205 98 0.21952914816566116
206 225 0.1380747305871899
207 260 0.2058744947674837
208 155 0.08410400388521949
209 261 0.1163721172933942
210 225 0.07474820719032088
211 14 0.18236063242479023
212 238 0.32336759624322586
213 262 0.2044888658310805
214 263 0.18867939242313408
214 27 0.45159377917638727
214 264 0.1338678259970036
214 265 0.10979535115389683
214 266 0.3627670723205413
214 238 0.2546740163786527
214 267 0.16826841177584134
215 268 0.2240672598928834
216 264 0.060313088154964
216 268 0.008432761481376616
216 267 0.2716749123010232
217 269 0.26648626644983986
218 270 0.06924766358136064
219 153 0.09907613846768143
219 270 0.39889973612984586
219 271 0.4606495472883207
220 119 0.13857444305708527
220 272 0.2502136349315714
220 273 0.2184756398569394
220 274 0.4178901734935094
220 275 0.10132097525596884
220 276 0.006749688347164773
220 277 0.3436014837119054
220 278 0.4906799168991583
220 279 0.45109191989141345
220 280 0.4891988435160775
220 281 0.4958124568656426
220 282 0.3801760997489329
220 283 0.3418734698435107
220 284 0.4697963988564327
220 285 0.434597937821656
220 286 0.4913868702727105
220 287 0.30444103975425857
221 288 0.24894506810244388
221 81 0.25323594155219076
221 289 0.12195646489698053
221 290 0.3592295035560359
222 291 0.34658119541098886
223 6 0.26419852462035
224 39 0.08462641285456629
225 32 0.3982114050592568
225 292 0.21794051902370842
225 39 0.2853788409826675
226 293 0.012282888546467197
227 294 0.07636405855281325
228 295 0.3254082297897925
229 296 0.13554324048177907
230 225 0.48284550268134013
231 297 0.4712391508919658
232 297 0.18874588746100585
233 116 0.4928201876167453
234 97 0.2923264943956181
235 97 0.1324877974914181
236 298 0.1275212247409096
237 299 0.007195597228084161
238 300 0.15719271803137497
239 78 0.49019320151707424
240 301 0.4871092431591358
241 302 0.12856342873247234
242 303 0.08498739950946188
242 138 0.2531504947687646
242 304 0.3648842393907626
242 305 0.36640691073421155
242 284 0.04566890403151347
243 173 0.22495449526390066
243 306 0.005493245746768016
244 155 0.48398037427731366
244 75 0.09727469591865551
245 307 0.49615310338621926
245 308 0.005799171493796218
245 309 0.03825020046444988
246 112 0.15189815883709618
247 310 0.43147741757860375
247 232 0.22986344868533232
248 311 0.4538771950336014
249 204 0.33380462702986397
249 312 0.16552765066139796
250 43 0.39776821441780796
251 298 0.0765236897572692
252 225 0.41714076218738416
253 313 0.1407652295161006
253 314 0.3924123236258739
254 271 0.38337858377772766
255 138 0.10282104961352717
256 161 0.22311859676406726
257 315 0.14026743618089033
258 316 0.19568136263379715
259 317 0.19782040646499854
260 152 0.06780378991377978
261 318 0.06269549267157054
262 114 0.47564313213423015
263 319 0.005991809788124969
264 263 0.021049203071138833
264 282 0.25262041765288024
265 320 0.15935479572052608
266 321 0.4184349093912715
267 322 0.0671515754158149
267 323 0.18710431784277398
268 324 0.10668427645718837
269 146 0.3935518464093562
269 240 0.14591984395208274
270 206 0.4197441172433296
271 325 0.1202287070591348
272 47 0.14662469017492846
273 326 0.34391605014468196
274 46 0.21834565428181457
275 111 0.4865320941218449
276 225 0.3713248114865287
277 327 0.46250355722074804
277 296 0.0018171750470996617
277 328 0.1380775369875593
277 329 0.2656778765296239
277 330 0.43902496845429434
277 331 0.14084645106615762
277 47 0.09846707524654735
278 95 0.36281407837242297
279 166 0.3777553198965425
280 332 0.4858955728055697
281 63 0.20426737520838056
282 33 0.480839555440925
283 333 0.3006914009155208
283 251 0.3523473136745457
284 101 0.3275543996250431
284 229 0.2769495490863375
285 36 0.37244795013719006
286 24 0.4471073699752395
287 24 0.3259520860223816
288 334 0.35950505152473755
289 36 0.48606209153572727
290 225 0.24304993269829217
291 335 0.3132631044168716
291 334 0.23266028352232676
291 336 0.11774389919438022
291 337 0.2283258743558073
291 77 0.039314181217122046
291 46 0.14970424540764737
291 338 0.4330512662939011
292 339 0.11334128944754851
293 340 0.4686751931357957
294 248 0.4645915752617868
294 257 0.4509188419404314
295 175 0.34953635049506493
296 341 0.110801233644922
297 341 0.08296644200877529
297 107 0.2151297721990465
298 341 0.005091454910583881
299 30 0.07138930310298908
299 77 0.37808942004499496
300 26 0.06422769364971154
301 255 0.3272311193689578
302 50 0.09790033103672346
303 104 0.25916436001416665
303 107 0.12469472619957683
303 108 0.252974231535383
304 78 0.14123657972977055
304 314 0.010682395860440619
304 342 0.017684705642779464
304 23 0.4508811276252206
305 313 0.09710482612928756
305 14 0.3309379208385421
306 43 0.4826324808191191
307 181 0.48652024550670486
308 343 0.08268895527911613
309 17 0.3646688243743726
310 344 0.49138077866432917
311 161 0.3406306483621294
312 345 0.34224854934138266
313 169 0.18438345086959668
313 346 0.45314826481983295
314 343 0.11778844760740292
315 347 0.007343141038114953
315 348 0.3318415811971441
316 71 0.2144395932579941
317 217 0.07621809303747512
318 293 0.12801435662181126
319 82 0.3251575146029072
320 11 0.07938754094567235
321 301 0.320762411967312
322 332 0.464026634153348
323 349 0.3963760293076087
324 300 0.4511906902311319
325 350 0.12266685415936329
326 67 0.4070755794437579
326 65 0.3881047763400146
327 269 0.05420708649841416
328 69 0.0880390581182871
329 248 0.1886754183317393
330 136 0.4136213694111348
331 258 0.019318193666929107
331 39 0.2603931222632405
332 39 0.2945391005422029
333 351 0.48558782839505327
333 352 0.49247790536232705
333 117 0.3250064633735236
333 353 0.08680218229771752
334 241 0.332802087029698
334 322 0.3222917786714746
335 40 0.06743453825931339
335 151 0.4832725102542153
336 40 0.37648758370079294
336 354 0.3833449335627435
336 322 0.46423326903064677
336 355 0.33778768052540287
336 356 0.13763453303761164
336 357 0.3452770099341484
336 46 0.3246272515620961
336 358 0.4841569086392314
336 4 0.018379539285392932
337 67 0.02262410461805814
338 14 0.3732675934979195
338 25 0.49600878113422353
339 161 0.10508592307447445
340 161 0.2614704537366194
341 359 0.28631048096513495
342 360 0.1891191112035378
343 300 0.2649877582982685
343 111 0.010845608377000215
343 361 0.33213980045937863
343 39 0.10969953369448371
344 362 0.38938720457569187
344 363 0.30204042320893587
344 315 0.12871279766094446
344 364 0.28277915099556034
344 365 0.49824888576898124
345 366 0.0015755822513298101
345 367 0.39926372251875164
345 340 0.3170221933283053
345 368 0.21343404436025548
346 95 0.11275253226726639
347 52 0.044410009876332035
348 68 0.4755825719189805
349 290 0.1350689003502722
350 369 0.4485782433084369
351 370 0.09179001235930934
351 129 0.4346578361491332
351 321 0.3105985031708902
351 371 0.06098370299504208
352 372 0.23879773083868616
352 302 0.12028496202339961
352 373 0.24687710953909558
353 374 0.4399942814488093
354 375 0.484833905671421
354 376 0.33051669165656034
355 162 0.4881296304699817
356 79 0.26068605884112694
356 187 0.0791422464812424
356 377 0.026662674951524357
356 14 0.2043907361382034
356 80 0.028804268665643007
356 23 0.0612213726407424
356 378 0.09533486894787963
356 379 0.015018414185457574
356 162 0.3483246490254589
356 380 0.2149274310432217
356 206 0.06407324548638743
357 266 0.4030558692944118
357 381 0.4771808638868963
358 217 0.26948658088451366
359 279 0.4502673137309385
360 24 0.3419418048506368
361 14 0.08861751759094388
361 19 0.3958415240073316
362 220 0.032278196044824015
362 115 0.49611792937606475
362 319 0.38974780448092705
363 61 0.32107389813581094
363 382 0.35116678206150104
363 109 0.2548885483551238
364 152 0.043807990008849496
365 43 0.44106610781817873
365 383 0.4987778827319826
366 36 0.23414593581077947
367 251 0.42160564862787375
368 87 0.36520718888773074
369 211 0.3155199162630654
370 384 0.18715246620333104
370 211 0.16975697797530465
370 385 0.3645834905739918
371 386 0.4158264663000145
371 387 0.04105331905573778
372 301 0.1991605349559888
373 388 0.2240977470075946
374 33 0.2010551087371633
375 282 0.3632483385016187
376 60 0.0928365791895015
377 88 0.3786398970477241
378 263 0.008613445398163389
379 389 0.3562553280037282
380 390 0.45501237914587983
381 391 0.361328963172278
381 86 0.32137795480602493
381 158 0.1989099720680425
381 392 0.1715600963005643
381 393 0.06113348482324027
381 394 0.050917400559024384
382 391 0.32225951445842077
383 392 0.018709489638942978
384 83 0.44960491412470505
384 154 0.3726499433394713
384 343 0.28028027641444797
384 269 0.36257733658534114
384 262 0.311920254147685
384 353 0.34113656388680147
385 372 0.44282346800973865
386 161 0.09561123134504396
387 236 0.2529168790482662
388 395 0.16669836415659883
389 181 0.1142242130302284
390 396 0.22522530985732192
391 206 0.1443066943143102
392 277 0.13224261370226853
392 397 0.02089341638558867
392 398 0.3548819886207107
393 397 0.49408491066336496
394 399 0.31218107184562055
395 400 0.12793416189405654
396 401 0.13116824715980235
396 93 0.37017526995708144
396 402 0.30569777861463665
396 188 0.28839717011050997
396 110 0.13358563094500198
397 153 0.4287304726476192
397 403 0.20624250020847262
397 188 0.34876413372222714
397 332 0.40127770336889307
398 138 0.3588467732065366
398 304 0.12635294235058137
399 232 0.3010347467770844
400 46 0.2746133850331299
400 404 0.11637302339840205
401 24 0.07763115283610328
402 405 0.023134516480185774
403 406 0.12067816789369745
404 407 0.2351375835921265
404 408 0.11765524766371677
404 189 0.22799025313283122
404 55 0.01896300242606963
404 169 0.04682188973583229
404 51 0.3491969171446831
404 409 0.4589016353231177
404 73 0.28807157379692355
404 405 0.31815835447924584
404 406 0.1256458314721408
405 410 0.24411711761101496
405 55 0.16926161175471538
405 169 0.3656631058802283
405 411 0.3184481302746144
406 318 0.35666581423537774
406 189 0.3053961724503376
406 120 0.28102355199575374
407 51 0.22312696536074822
408 153 0.42602551537831507
409 95 0.20564527122599885
410 412 0.4785629879495061
410 369 0.02970167121873135
410 274 0.19304551887605914
410 413 0.43737919714398854
411 414 0.45353223455088
411 415 0.26228475836852877
411 416 0.4811059815847473
412 104 0.20138675695313452
412 106 0.46238371832770586
413 95 0.17326784490423663
413 218 0.32768262771975587
413 417 0.41204521923461535
413 418 0.02947529906866886
413 383 0.3465271765458488
413 419 0.10117611426416517
